k t J res re2 iterationGibbs time J1 J2 J3
 174 2.045562e+05 -1.184632e-03 3.784699e-07 2.256589e-04 1 1.213992e+00 -2.810143e-03 7.695069e+01 2.073837e-01 
 175 7.670858e+04 -1.184632e-03 6.859835e-07 1.533791e-04 1 3.008170e+00 -2.810143e-03 7.695064e+01 2.073837e-01 
 176 1.150629e+05 -1.184632e-03 4.112727e-07 1.379347e-04 1 2.176994e+00 -2.810142e-03 7.695064e+01 2.073836e-01 
 177 8.629715e+04 -1.184632e-03 4.572183e-07 1.150081e-04 1 2.371542e+00 -2.810142e-03 7.695061e+01 2.073837e-01 
 178 1.294457e+05 -1.184632e-03 3.574340e-07 1.348627e-04 1 1.776148e+00 -2.810142e-03 7.695061e+01 2.073835e-01 
 179 9.708429e+04 -1.184632e-03 4.488313e-07 1.270108e-04 1 2.465594e+00 -2.810142e-03 7.695058e+01 2.073836e-01 
 180 1.456264e+05 -1.184632e-03 4.060500e-07 1.723567e-04 1 1.761335e+00 -2.810141e-03 7.695057e+01 2.073835e-01 
 181 1.092198e+05 -1.184632e-03 6.468619e-07 2.059309e-04 1 2.463877e+00 -2.810141e-03 7.695054e+01 2.073836e-01 
 182 8.191487e+04 -1.184632e-03 7.118830e-07 1.699730e-04 1 2.503334e+00 -2.810141e-03 7.695055e+01 2.073834e-01 
 183 1.228723e+05 -1.184632e-03 4.474345e-07 1.602477e-04 1 1.876138e+00 -2.810141e-03 7.695052e+01 2.073835e-01 
 184 9.215423e+04 -1.184632e-03 5.853441e-07 1.572299e-04 1 2.495672e+00 -2.810140e-03 7.695052e+01 2.073834e-01 
 185 6.911567e+04 -1.184632e-03 4.721029e-07 9.510902e-05 1 2.905447e+00 -2.810140e-03 7.695049e+01 2.073835e-01 
 186 2.073470e+05 -1.184632e-03 2.297103e-07 1.388311e-04 1 1.223969e+00 -2.810140e-03 7.695049e+01 2.073834e-01 
 187 7.775513e+04 -1.184632e-03 4.754679e-07 1.077603e-04 1 3.110819e+00 -2.810140e-03 7.695046e+01 2.073835e-01 
 188 1.166327e+05 -1.184632e-03 2.748736e-07 9.344625e-05 1 1.896555e+00 -2.810140e-03 7.695047e+01 2.073834e-01 
 189 8.747452e+04 -1.184632e-03 3.221437e-07 8.213716e-05 1 2.479764e+00 -2.810139e-03 7.695045e+01 2.073834e-01 
 190 1.312118e+05 -1.184632e-03 2.446046e-07 9.355047e-05 1 1.905897e+00 -2.810139e-03 7.695045e+01 2.073833e-01 
 191 9.840884e+04 -1.184632e-03 3.358499e-07 9.633581e-05 1 2.501070e+00 -2.810139e-03 7.695043e+01 2.073834e-01 
